phone,imsi,x,y,time,staytime
0988247686,466924160236254,121.0858,24.5973,2020/01/28 00:00:00,905.0
0988247686,466924160236254,121.082,24.5979,2020/01/28 00:15:05,2349.0
0988247686,466924160236254,121.0912,24.5969,2020/01/28 00:54:14,2336.0
0988247686,466924160236254,121.0851,24.5989,2020/01/28 01:33:10,1326.0
0988247686,466924160236254,121.0785,24.6003,2020/01/28 01:55:16,3763.0
0988247686,466924160236254,121.0867,24.5982,2020/01/28 02:57:59,1008.0
0988247686,466924160236254,121.0932,24.5975,2020/01/28 03:14:47,4360.0
0988247686,466924160236254,121.0972,24.5971,2020/01/28 04:27:27,1015.0
0988247686,466924160236254,121.1007,24.5969,2020/01/28 04:44:22,1013.0
0988247686,466924160236254,121.1049,24.5981,2020/01/28 05:01:15,7599.0
0988247686,466924160236254,121.1093,24.5989,2020/01/28 07:07:54,1627.0
0988247686,466924160236254,121.1047,24.5953,2020/01/28 07:35:01,1087.0
0988247686,466924160236254,121.1083,24.6075,2020/01/28 07:53:08,431.0
0988247686,466924160236254,121.1065,24.6128,2020/01/28 08:00:19,102.0
0988247686,466924160236254,121.1019,24.5986,2020/01/28 08:02:01,780.0
0988247686,466924160236254,121.1021,24.5928,2020/01/28 08:15:01,474.0
0988247686,466924160236254,121.1185,24.6104,2020/01/28 08:22:55,27.0
0988247686,466924160236254,121.1245,24.6265,2020/01/28 08:23:22,153.0
0988247686,466924160236254,121.1421,24.6467,2020/01/28 08:25:55,60.0
0988247686,466924160236254,121.1472,24.6539,2020/01/28 08:26:55,129.0
0988247686,466924160236254,121.1604,24.6613,2020/01/28 08:29:04,8.0
0988247686,466924160236254,121.1476,24.6514,2020/01/28 08:29:12,14.0
0988247686,466924160236254,121.1353,24.6368,2020/01/28 08:29:26,318.0
0988247686,466924160236254,121.1189,24.6175,2020/01/28 08:34:44,51.0
0988247686,466924160236254,121.1138,24.6093,2020/01/28 08:35:35,117.0
0988247686,466924160236254,121.1087,24.6055,2020/01/28 08:37:32,60.0
